Date(UTC),UnixTimeStamp,Value,Scaled Value,Transaction Count,Transaction Date,
9/1/2015,1441065600,1.36,1326,5153,2015-09-01 00:00:20 UTC,
9/2/2015,1441152000,1.14,1111,5195,2015-09-02 00:01:14 UTC,
9/3/2015,1441238400,1.23,1199,4777,2015-09-03 00:00:14 UTC,
9/4/2015,1441324800,1.35,1316,5642,2015-09-04 00:00:18 UTC,
9/5/2015,1441411200,1.37,1335,5519,2015-09-05 00:00:59 UTC,
9/6/2015,1441497600,1.34,1306,5521,2015-09-06 00:00:20 UTC,
9/7/2015,1441584000,1.28,1248,5702,2015-09-07 00:00:11 UTC,
9/8/2015,1441670400,1.26,1228,5624,2015-09-08 00:00:47 UTC,
9/9/2015,1441756800,1.21,1179,5602,2015-09-09 00:00:07 UTC,
9/10/2015,1441843200,1.19,1160,5341,2015-09-10 00:00:27 UTC,
9/11/2015,1441929600,0.92,897,6460,2015-09-11 00:00:32 UTC,
9/12/2015,1442016000,1.15,1121,5596,2015-09-12 00:00:02 UTC,
9/13/2015,1442102400,0.89,867,6057,2015-09-13 00:00:07 UTC,
9/14/2015,1442188800,0.96,936,5572,2015-09-14 00:01:12 UTC,
9/15/2015,1442275200,0.95,926,5409,2015-09-15 00:00:13 UTC,
9/16/2015,1442361600,0.94,916,5872,2015-09-16 00:00:27 UTC,
9/17/2015,1442448000,0.88,858,5368,2015-09-17 00:00:36 UTC,
9/18/2015,1442534400,0.85,828,5802,2015-09-18 00:00:17 UTC,
9/19/2015,1442620800,0.89,867,5205,2015-09-19 00:00:14 UTC,
9/20/2015,1442707200,0.89,867,6402,2015-09-20 00:00:02 UTC,
9/21/2015,1442793600,0.94,916,6305,2015-09-21 00:00:19 UTC,
9/22/2015,1442880000,0.81,789,6804,2015-09-22 00:00:34 UTC,
9/23/2015,1442966400,0.91,887,7404,2015-09-23 00:00:14 UTC,
9/24/2015,1443052800,0.8,780,6224,2015-09-24 00:00:15 UTC,
9/25/2015,1443139200,0.68,663,5851,2015-09-25 00:00:17 UTC,
9/26/2015,1443225600,0.77,750,5907,2015-09-26 00:00:16 UTC,
9/27/2015,1443312000,0.7,682,5760,2015-09-27 00:00:16 UTC,
9/28/2015,1443398400,0.6,585,6123,2015-09-28 00:00:08 UTC,
9/29/2015,1443484800,0.68,663,5738,2015-09-29 00:00:02 UTC,
9/30/2015,1443571200,0.71,692,5870,2015-09-30 00:00:46 UTC,
10/1/2015,1443657600,0.65,634,6421,2015-10-01 00:00:17 UTC,
10/2/2015,1443744000,0.66,643,6063,2015-10-02 00:00:13 UTC,
10/3/2015,1443830400,0.68,663,6112,2015-10-03 00:01:00 UTC,
10/4/2015,1443916800,0.61,595,6624,2015-10-04 00:00:41 UTC,
10/5/2015,1444003200,0.61,595,6279,2015-10-05 00:00:13 UTC,
10/6/2015,1444089600,0.65,634,6458,2015-10-06 00:00:16 UTC,
10/7/2015,1444176000,0.6,585,7121,2015-10-07 00:00:21 UTC,
10/8/2015,1444262400,0.62,604,6926,2015-10-08 00:00:15 UTC,
10/9/2015,1444348800,0.64,624,6763,2015-10-09 00:00:17 UTC,
10/10/2015,1444435200,0.64,624,6529,2015-10-10 00:00:03 UTC,
10/11/2015,1444521600,0.6,585,6023,2015-10-11 00:00:21 UTC,
10/12/2015,1444608000,0.63,614,6594,2015-10-12 00:00:04 UTC,
10/13/2015,1444694400,0.6,585,6817,2015-10-13 00:00:02 UTC,
10/14/2015,1444780800,0.5,487,6830,2015-10-14 00:00:24 UTC,
10/15/2015,1444867200,0.56,546,6499,2015-10-15 00:00:05 UTC,
10/16/2015,1444953600,0.53,517,6795,2015-10-16 00:00:29 UTC,
10/17/2015,1445040000,0.52,507,6567,2015-10-17 00:00:28 UTC,
10/18/2015,1445126400,0.51,497,6481,2015-10-18 00:00:37 UTC,
10/19/2015,1445212800,0.5,487,6604,2015-10-19 00:00:15 UTC,
10/20/2015,1445299200,0.44,429,5897,2015-10-20 00:00:11 UTC,
10/22/2015,1445472000,0.61,595,6182,2015-10-21 00:00:09 UTC,
10/21/2015,1445385600,0.42,409,5979,2015-10-22 00:00:09 UTC,
10/23/2015,1445558400,0.56,546,6888,2015-10-23 00:00:42 UTC,
10/24/2015,1445644800,0.56,546,6361,2015-10-24 00:00:19 UTC,
10/25/2015,1445731200,0.62,604,5830,2015-10-25 00:00:09 UTC,
10/26/2015,1445817600,0.71,692,5938,2015-10-26 00:00:35 UTC,
10/27/2015,1445904000,0.83,809,6784,2015-10-27 00:00:11 UTC,
10/28/2015,1445990400,0.99,965,7347,2015-10-28 00:00:14 UTC,
10/29/2015,1446076800,1.12,1092,7835,2015-10-29 00:00:38 UTC,
10/30/2015,1446163200,1.14,1111,7941,2015-10-30 00:00:01 UTC,
10/31/2015,1446249600,0.87,848,7557,2015-10-31 00:00:21 UTC,
11/1/2015,1446336000,0.99,965,6915,2015-11-01 00:00:08 UTC,
11/2/2015,1446422400,0.99,965,6558,2015-11-02 00:00:25 UTC,
11/3/2015,1446508800,1.06,1033,7399,2015-11-03 00:00:03 UTC,
11/4/2015,1446595200,0.8,780,7037,2015-11-04 00:00:10 UTC,
11/5/2015,1446681600,0.88,858,7498,2015-11-05 00:00:44 UTC,
11/6/2015,1446768000,0.99,965,7882,2015-11-06 00:00:33 UTC,
11/7/2015,1446854400,0.93,906,10996,2015-11-07 00:00:05 UTC,
11/8/2015,1446940800,1,975,12413,2015-11-08 00:00:29 UTC,
11/9/2015,1447027200,1,975,7689,2015-11-09 00:00:22 UTC,
11/10/2015,1447113600,0.9,877,8151,2015-11-10 00:00:07 UTC,
11/11/2015,1447200000,0.75,731,10217,2015-11-11 00:00:12 UTC,
11/12/2015,1447286400,0.88,858,9536,2015-11-12 00:00:02 UTC,
11/13/2015,1447372800,0.9,877,7889,2015-11-13 00:00:13 UTC,
11/14/2015,1447459200,0.88,858,7211,2015-11-14 00:00:08 UTC,
11/15/2015,1447545600,0.92,897,7170,2015-11-15 00:00:42 UTC,
11/16/2015,1447632000,0.93,906,7442,2015-11-16 00:00:21 UTC,
11/17/2015,1447718400,1,975,7145,2015-11-17 00:00:17 UTC,
11/18/2015,1447804800,1,975,7373,2015-11-18 00:00:11 UTC,
11/19/2015,1447891200,0.94,916,8876,2015-11-19 00:00:05 UTC,
11/20/2015,1447977600,0.92,897,6348,2015-11-20 00:00:38 UTC,
11/21/2015,1448064000,0.96,936,6822,2015-11-21 00:00:11 UTC,
11/22/2015,1448150400,0.97,945,7083,2015-11-22 00:00:05 UTC,
11/23/2015,1448236800,0.92,897,8260,2015-11-23 00:00:16 UTC,
11/24/2015,1448323200,0.91,887,7152,2015-11-24 00:01:06 UTC,
11/25/2015,1448409600,0.87,848,7098,2015-11-25 00:00:21 UTC,
11/26/2015,1448496000,0.86,838,7278,2015-11-26 00:00:29 UTC,
11/27/2015,1448582400,0.88,858,6639,2015-11-27 00:00:24 UTC,
11/28/2015,1448668800,0.91,887,6817,2015-11-28 00:00:20 UTC,
11/29/2015,1448755200,0.87,848,6853,2015-11-29 00:00:27 UTC,
11/30/2015,1448841600,0.88,858,8986,2015-11-30 00:00:17 UTC,
12/1/2015,1448928000,0.87,848,6794,2015-12-01 00:00:01 UTC,
12/3/2015,1449100800,0.83,809,6502,2015-12-02 00:00:02 UTC,
12/2/2015,1449014400,0.82,799,6971,2015-12-03 00:00:17 UTC,
12/4/2015,1449187200,0.84,819,6898,2015-12-04 00:00:07 UTC,
12/5/2015,1449273600,0.87,848,6784,2015-12-05 00:00:01 UTC,
12/6/2015,1449360000,0.83,809,9103,2015-12-06 00:00:03 UTC,
12/7/2015,1449446400,0.79,770,7141,2015-12-07 00:00:14 UTC,
12/8/2015,1449532800,0.81,789,6697,2015-12-08 00:00:04 UTC,
12/9/2015,1449619200,0.81,789,7001,2015-12-09 00:00:03 UTC,
12/10/2015,1449705600,0.84,819,7444,2015-12-10 00:00:03 UTC,
12/11/2015,1449792000,0.9,877,8105,2015-12-11 00:00:09 UTC,
12/12/2015,1449878400,0.96,936,8205,2015-12-12 00:00:14 UTC,
12/13/2015,1449964800,0.92,897,7426,2015-12-13 00:00:02 UTC,
12/14/2015,1450051200,0.99,965,15550,2015-12-14 00:00:27 UTC,
12/15/2015,1450137600,1,975,21098,2015-12-15 00:00:28 UTC,
12/16/2015,1450224000,0.8,780,10304,2015-12-16 00:00:06 UTC,
12/17/2015,1450310400,0.94,916,9612,2015-12-17 00:00:01 UTC,
12/18/2015,1450396800,0.9,877,9032,2015-12-18 00:00:05 UTC,
12/19/2015,1450483200,0.89,867,9314,2015-12-19 00:00:03 UTC,
12/20/2015,1450569600,1.07,1043,9879,2015-12-20 00:00:12 UTC,
12/21/2015,1450656000,0.91,887,12063,2015-12-21 00:00:07 UTC,
12/22/2015,1450742400,0.88,858,21027,2015-12-22 00:00:03 UTC,
12/23/2015,1450828800,0.87,848,22740,2015-12-23 00:00:19 UTC,
12/24/2015,1450915200,0.87,848,13494,2015-12-24 00:00:06 UTC,
12/25/2015,1451001600,0.88,858,9521,2015-12-25 00:00:06 UTC,
12/26/2015,1451088000,0.85,828,10726,2015-12-26 00:00:50 UTC,
12/27/2015,1451174400,0.92,897,21867,2015-12-27 00:00:23 UTC,
12/28/2015,1451260800,0.87,848,12368,2015-12-28 00:00:08 UTC,
12/29/2015,1451347200,0.86,838,11358,2015-12-29 00:00:23 UTC,
12/30/2015,1451433600,0.89,867,21768,2015-12-30 00:00:51 UTC,
12/31/2015,1451520000,0.95,926,10300,2015-12-31 00:00:03 UTC,
1/1/2016,1451606400,0.92,897,8233,2016-01-01 00:00:04 UTC,
1/2/2016,1451692800,0.95,926,9164,2016-01-02 00:00:24 UTC,
1/3/2016,1451779200,0.96,936,9258,2016-01-03 00:00:06 UTC,
1/4/2016,1451865600,0.95,926,9474,2016-01-04 00:00:29 UTC,
1/5/2016,1451952000,0.94,916,16432,2016-01-05 00:00:06 UTC,
1/6/2016,1452038400,0.95,926,17072,2016-01-06 00:00:41 UTC,
1/7/2016,1452124800,0.94,916,22075,2016-01-07 00:00:25 UTC,
1/8/2016,1452211200,0.99,965,10919,2016-01-08 00:00:34 UTC,
1/9/2016,1452297600,0.99,965,11793,2016-01-09 00:00:22 UTC,
1/10/2016,1452384000,1,975,10320,2016-01-10 00:00:05 UTC,
1/11/2016,1452470400,1.08,1053,10893,2016-01-11 00:00:08 UTC,
1/12/2016,1452556800,1.22,1189,10862,2016-01-12 00:00:35 UTC,
1/13/2016,1452643200,1.14,1111,17665,2016-01-13 00:00:40 UTC,
1/14/2016,1452729600,1.16,1131,10653,2016-01-14 00:00:28 UTC,
1/15/2016,1452816000,1.2,1170,9875,2016-01-15 00:00:38 UTC,
1/16/2016,1452902400,1.22,1189,10664,2016-01-16 00:00:07 UTC,
1/17/2016,1452988800,1.31,1277,9747,2016-01-17 00:00:12 UTC,
1/18/2016,1453075200,1.47,1433,12918,2016-01-18 00:00:02 UTC,
1/19/2016,1453161600,1.22,1189,13418,2016-01-19 00:00:09 UTC,
1/20/2016,1453248000,1.54,1501,10610,2016-01-20 00:00:28 UTC,
1/21/2016,1453334400,1.54,1501,10734,2016-01-21 00:00:05 UTC,
1/22/2016,1453420800,1.52,1481,13848,2016-01-22 00:00:04 UTC,
1/23/2016,1453507200,2.03,1979,11025,2016-01-23 00:00:24 UTC,
1/24/2016,1453593600,2.1,2047,12798,2016-01-24 00:01:18 UTC,
1/25/2016,1453680000,2.5,2437,17121,2016-01-25 00:00:04 UTC,
1/26/2016,1453766400,2.3,2242,16511,2016-01-26 00:00:08 UTC,
1/27/2016,1453852800,2.42,2359,18747,2016-01-27 00:00:20 UTC,
1/28/2016,1453939200,2.55,2485,16765,2016-01-28 00:01:02 UTC,
1/29/2016,1454025600,2.41,2349,16395,2016-01-29 00:00:05 UTC,
1/30/2016,1454112000,2.44,2378,14661,2016-01-30 00:00:11 UTC,
1/31/2016,1454198400,2.2,2144,14166,2016-01-31 00:00:06 UTC,
2/1/2016,1454284800,2.17,2115,14199,2016-02-01 00:00:03 UTC,
2/2/2016,1454371200,2.45,2388,14291,2016-02-02 00:00:05 UTC,
2/3/2016,1454457600,2.53,2466,14274,2016-02-03 00:00:03 UTC,
2/4/2016,1454544000,2.57,2505,14371,2016-02-04 00:00:17 UTC,
2/5/2016,1454630400,2.56,2495,15249,2016-02-05 00:00:04 UTC,
2/6/2016,1454716800,2.53,2466,31418,2016-02-06 00:00:03 UTC,
2/7/2016,1454803200,3,2924,14264,2016-02-07 00:00:15 UTC,
2/8/2016,1454889600,3.16,3080,14719,2016-02-08 00:00:14 UTC,
2/9/2016,1454976000,3.76,3665,15517,2016-02-09 00:00:16 UTC,
2/10/2016,1455062400,4.35,4240,17141,2016-02-10 00:00:42 UTC,
2/11/2016,1455148800,6.38,6218,21448,2016-02-11 00:00:24 UTC,
2/13/2016,1455321600,5.22,5088,18101,2016-02-12 00:00:03 UTC,
2/12/2016,1455235200,5.27,5136,19327,2016-02-13 00:00:31 UTC,
2/14/2016,1455408000,5.2,5068,16624,2016-02-14 00:00:39 UTC,
2/15/2016,1455494400,5.22,5088,17159,2016-02-15 00:00:06 UTC,
2/16/2016,1455580800,4.25,4142,17549,2016-02-16 00:00:37 UTC,
2/17/2016,1455667200,3.86,3762,19990,2016-02-17 00:00:16 UTC,
2/18/2016,1455753600,4.36,4249,16969,2016-02-18 00:00:30 UTC,
2/19/2016,1455840000,4.45,4337,18412,2016-02-19 00:00:38 UTC,
2/20/2016,1455926400,4.37,4259,16717,2016-02-20 00:00:08 UTC,
2/21/2016,1456012800,4.63,4513,17116,2016-02-21 00:00:03 UTC,
2/22/2016,1456099200,5.6,5458,18190,2016-02-22 00:00:09 UTC,
2/23/2016,1456185600,5.7,5556,18482,2016-02-23 00:00:01 UTC,
2/24/2016,1456272000,6.23,6072,19540,2016-02-24 00:00:50 UTC,
2/25/2016,1456358400,5.93,5780,19503,2016-02-25 00:00:13 UTC,
2/26/2016,1456444800,6.03,5877,21068,2016-02-26 00:00:13 UTC,
2/27/2016,1456531200,6.31,6150,18981,2016-02-27 00:00:01 UTC,
2/28/2016,1456617600,6.5,6335,19063,2016-02-28 00:00:16 UTC,
2/29/2016,1456704000,6.35,6189,20358,2016-02-29 00:00:50 UTC,
3/1/2016,1456790400,7.59,7398,21778,2016-03-01 00:00:21 UTC,
3/2/2016,1456876800,8.7,8479,23562,2016-03-02 00:00:25 UTC,
3/3/2016,1456963200,9.35,9113,24837,2016-03-03 00:00:03 UTC,
3/4/2016,1457049600,9.96,9708,24287,2016-03-04 00:00:07 UTC,
3/5/2016,1457136000,11,10721,27115,2016-03-05 00:00:18 UTC,
3/6/2016,1457222400,10.98,10702,27661,2016-03-06 00:00:11 UTC,
3/7/2016,1457308800,9.5,9259,23271,2016-03-07 00:00:11 UTC,
3/8/2016,1457395200,9.88,9630,24105,2016-03-08 00:00:49 UTC,
3/9/2016,1457481600,11.55,11257,24557,2016-03-09 00:00:10 UTC,
3/10/2016,1457568000,11.11,10828,24814,2016-03-10 00:00:19 UTC,
3/11/2016,1457654400,11.25,10965,23124,2016-03-11 00:00:34 UTC,
3/12/2016,1457740800,13.25,12914,27887,2016-03-12 00:00:01 UTC,
3/13/2016,1457827200,15,14620,28127,2016-03-13 00:00:52 UTC,
3/14/2016,1457913600,12.5,12183,28528,2016-03-14 00:00:05 UTC,
3/15/2016,1458000000,13.09,12758,29273,2016-03-15 00:00:15 UTC,
3/16/2016,1458086400,12.92,12592,27596,2016-03-16 00:00:02 UTC,
3/17/2016,1458172800,11.14,10858,33531,2016-03-17 00:00:28 UTC,
3/18/2016,1458259200,10.75,10477,31821,2016-03-18 00:00:06 UTC,
3/19/2016,1458345600,10.55,10283,34780,2016-03-19 00:00:04 UTC,
3/20/2016,1458432000,10.06,9805,32446,2016-03-20 00:00:16 UTC,
3/21/2016,1458518400,11.97,11667,32526,2016-03-21 00:00:03 UTC,
3/22/2016,1458604800,10.96,10682,32875,2016-03-22 00:00:14 UTC,
3/23/2016,1458691200,12.29,11978,31786,2016-03-23 00:00:57 UTC,
